gene	Apical progenitors	Astrocytes	CThPN	Cajal Retzius cells	Cycling glial cells	DL CPN	DL_CPN_1	DL_CPN_2	Doublet	Endothelial cells	Ependymocytes	Immature neurons	Intermediate progenitors	Interneurons	Layer 4	Layer 6b	Low quality cells	Microglia	Migrating neurons	NP	Oligodendrocytes	Pericytes	Red blood cells	SCPN	UL CPN	VLMC
A630072M18Rik																										0.0
Col2a1	1.0	0.0	0.0			0.0	0.0	0.0		0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Wdr36																										
Sik3																										
Mapk10	0.0					1.0	1.0	1.0				1.0		1.0	1.0	1.0							0.0	1.0	1.0	0.0
Gm561			1.0	1.0		1.0	1.0	1.0	1.0			1.0	1.0		1.0	1.0			1.0	1.0				1.0	1.0	
Gm29367	0.0		0.0	0.0		0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0
2810006K23Rik																							0.0			
Srpk1	1.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0	1.0	1.0			1.0	1.0	1.0	1.0		1.0	1.0	
Sgce											1.0											1.0	0.0			
Acad11	0.0		0.0			0.0						0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0		0.0	0.0	0.0	0.0
Tmem229a		1.0	0.0							0.0		0.0	0.0		1.0		0.0	0.0	0.0			0.0	0.0	0.0		0.0
Usp20																										
Mef2a							1.0	1.0		1.0						1.0		1.0				1.0				
Prss23	1.0	1.0	0.0	0.0		0.0	0.0	0.0				0.0			0.0	0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0	
Lrrc8c		1.0	0.0			0.0						0.0	0.0				0.0		0.0					0.0	0.0	
Evi5		1.0	0.0		1.0	0.0	1.0	1.0	1.0		1.0	0.0	0.0		0.0				0.0	0.0	1.0	1.0		0.0	0.0	
Mia3	0.0						1.0	1.0	1.0						1.0	1.0										
Ears2																							0.0			
Msrb2														0.0									0.0			
Cbfa2t2	0.0	0.0	0.0			0.0	1.0		1.0			0.0	1.0		0.0				1.0	0.0			0.0	0.0	0.0	
Ribc1		0.0	0.0		0.0	0.0	0.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0
C330006A16Rik																							0.0			
Stradb	0.0		1.0			1.0	1.0	1.0	1.0			1.0	0.0		1.0	1.0				1.0				1.0	1.0	
Itm2c	0.0	1.0	1.0	1.0				1.0	1.0	1.0	1.0	0.0	0.0		0.0	1.0		1.0	0.0			1.0		0.0	0.0	
Plekhb1	0.0	1.0	0.0	0.0		0.0				0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Kif20b	1.0		0.0			0.0	0.0	0.0				0.0	1.0		0.0	0.0			0.0	0.0				0.0	0.0	
AI854517	1.0	1.0	0.0		1.0	0.0	1.0	1.0	1.0		1.0	1.0	1.0		0.0	1.0			1.0	0.0	1.0			0.0	0.0	
Bbs9																	0.0						0.0			
Lrrc8b							1.0									1.0										
1700023F06Rik	0.0	0.0	0.0		0.0					0.0	0.0		0.0	0.0	1.0		0.0	0.0	0.0		0.0	0.0	0.0			0.0
Agps																										
Ppp1r14c	0.0		1.0			1.0	1.0	1.0					0.0		1.0	1.0				1.0	1.0		0.0	1.0	1.0	0.0
Mrps30	1.0	1.0	1.0				1.0	1.0	1.0			1.0	1.0		1.0	1.0			1.0					1.0	1.0	1.0
Pygo1											0.0												0.0			
Nckap1		1.0	1.0	1.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0			1.0	1.0				1.0	1.0	1.0		1.0	1.0	
Hps3											0.0						0.0						0.0			
Sulf2		0.0					1.0					0.0				1.0			0.0	1.0	1.0		0.0			1.0
Htra3	0.0		0.0	0.0		0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0		0.0	0.0	0.0	
Ptpre	0.0	0.0	0.0	1.0	0.0	1.0						1.0	0.0		1.0		0.0		0.0		1.0		0.0	1.0		0.0
Taf9b																		0.0								
Zfp606																										
Ppargc1a		1.0				0.0						0.0	0.0		0.0		0.0	0.0	0.0			0.0	0.0		0.0	0.0
Tram1l1				1.0			1.0		1.0							1.0							0.0			
Ints8																										
